Metabolite Name,increased or decreased,Organ,Sex,Age,Species,InChIKey,Keggs,Lipid Maps,Pubchem CID,Standardized Name,Formula,Exact mass,Subclass,HMDB,DOI,Title
d-3-hydroxybutyrate,increased,plasma,,,Mice,WHBMMWSBFZVSSR-GSVOUGTGSA-M,No result,No result,6971058,-,,,,No result,https://doi.org/10.1021/pr2010154,Metabotyping of Long-Lived Mice using 1H NMR Spectroscopy
trimethylamine-N-oxide,increased,plasma,,,Mice,UYPYRKYUKCHHIB-UHFFFAOYSA-N,C01104,No result,1145,Trimethylamine N-oxide,C3H9NO,75.0684,Trisubstituted amine oxides,HMDB0000925,https://doi.org/10.1021/pr2010154,Metabotyping of Long-Lived Mice using 1H NMR Spectroscopy
isoleucine,decreased,plasma,,,Mice,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C00407,LMFA01100047,6306,Isoleucine,C6H13NO2,131.0946,Amino acids,HMDB0000172,https://doi.org/10.1021/pr2010154,Metabotyping of Long-Lived Mice using 1H NMR Spectroscopy
valine,decreased,plasma,,,Mice,KZSNJWFQEVHDMF-BYPYZUCNSA-N,C00183,No result,6287,Valine,C5H11NO2,117.079,Amino acids,HMDB0000883,https://doi.org/10.1021/pr2010154,Metabotyping of Long-Lived Mice using 1H NMR Spectroscopy
2-Hydroxyisobutyrate,increased,plasma,,,Mice,BWLBGMIXKSTLSX-UHFFFAOYSA-M,No result,No result,4277439,2-Hydroxyisobutyric acid,C4H8O3,104.0473,Hydroxy FA,No result,https://doi.org/10.1021/pr2010154,Metabotyping of Long-Lived Mice using 1H NMR Spectroscopy
TMA,decreased,plasma,,,Mice,GETQZCLCWQTVFV-UHFFFAOYSA-N,C00565,No result,1146,Trimethylamine,C3H9N,59.0735,Tertiary amines,HMDB0000906,https://doi.org/10.1021/pr2010154,Metabotyping of Long-Lived Mice using 1H NMR Spectroscopy
Phosphatidylcholine,decreased,whole organism,,,C. elegans,ZZWQHNRGJQENEP-KXQOOQHDSA-N,No result,No result,25223701,-,,,,No result,https://doi.org/10.1007/s11306-013-0608-8,Meta-analysis of global metabolomic data identifies metabolites associated with life-span extension
Niacin,decreased,whole organism,,,C. elegans,PVNIIMVLHYAWGP-UHFFFAOYSA-N,C00253,No result,938,Nicotinic acid,C6H5NO2,123.032,Pyridinecarboxylic acids,HMDB0001488,https://doi.org/10.1007/s11306-013-0608-8,Meta-analysis of global metabolomic data identifies metabolites associated with life-span extension
maltose,increased,whole organism,male,,Drosophila,GUBGYTABKSRVRQ-UHFFFAOYSA-N,No result,No result,294,Maltose,C12H22O11,342.1162,Disaccharides,No result,https://doi.org/10.1371/journal.pone.0047461,The Metabolic Profile of Long-Lived Drosophila melanogaster
glucose,increased,whole organism,male,,Drosophila,WQZGKKKJIJFFOK-GASJEMHNSA-N,C00031,No result,5793,Glucose,C6H12O6,180.0634,Hexoses,HMDB0000122,https://doi.org/10.1371/journal.pone.0047461,The Metabolic Profile of Long-Lived Drosophila melanogaster
galactoside,decreased,whole organism,male,,Drosophila,GETQZCLCWQTVFV-UHFFFAOYSA-N,C00565,No result,1146,Trimethylamine,C3H9N,59.0735,Tertiary amines,HMDB0000906,https://doi.org/10.1371/journal.pone.0047461,The Metabolic Profile of Long-Lived Drosophila melanogaster
choline,decreased,whole organism,male,,Drosophila,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C00114,No result,305,Choline,C5H14NO,104.1075,Cholines,HMDB0000097,https://doi.org/10.1371/journal.pone.0047461,The Metabolic Profile of Long-Lived Drosophila melanogaster
fatty acid,decreased,whole organism,male,,Drosophila,WWZKQHOCKIZLMA-UHFFFAOYSA-N,C06423,LMFA01010008,379,Caprylic acid,C8H16O2,144.115,Saturated FA,HMDB0000482,https://doi.org/10.1371/journal.pone.0047461,The Metabolic Profile of Long-Lived Drosophila melanogaster
glutamine,decreased,whole organism,male,,Drosophila,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C00064,No result,5961,Glutamine,C5H10N2O3,146.0691,Amino acids,HMDB0000641,https://doi.org/10.1371/journal.pone.0047461,The Metabolic Profile of Long-Lived Drosophila melanogaster
lysine,decreased,whole organism,male,,Drosophila,KDXKERNSBIXSRK-YFKPBYRVSA-N,C00047,No result,5962,Lysine,C6H14N2O2,146.1055,Amino acids,HMDB0000182,https://doi.org/10.1371/journal.pone.0047461,The Metabolic Profile of Long-Lived Drosophila melanogaster
β-alanine,decreased,whole organism,male,,Drosophila,UCMIRNVEIXFBKS-UHFFFAOYSA-N,C00099,No result,239,beta-Alanine,C3H7NO2,89.0477,Amino acids,HMDB0000056,https://doi.org/10.1371/journal.pone.0047461,The Metabolic Profile of Long-Lived Drosophila melanogaster
dehydroepiandrosterone,decreased,serum,,70-80,Humans,FMGSKLZLMKYGDP-USOAJAOKSA-N,C01227,LMST02020021,5881,Dehydroepiandrosterone,C19H28O2,288.2089,C19 steroids,No result,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
DHEA-sulfate,decreased,serum,,70-80,Humans,CZWCKYRVOZZJNM-USOAJAOKSA-N,C04555,LMST05020010,12594,Dehydroepiandrosterone sulfate,C19H28O5S,368.1657,Sulfate conjugates,HMDB0001032,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
"androst-5-ene-3β,17β-diol",decreased,serum,,70-80,Humans,QADHLRWLCPCEKT-UHFFFAOYSA-N,No result,No result,223407,-,,,,No result,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
5-diol-sulfate,decreased,serum,,70-80,Humans,QADHLRWLCPCEKT-LOVVWNRFSA-N,C04295,LMST02020005,10634,Androstenediol,C19H30O2,290.2246,C19 steroids,HMDB0003818,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
5-diol-fatty acid esters,decreased,serum,,70-80,Humans,DZVDMBMUZJQKGH-UHFFFAOYSA-N,No result,No result,110259,-,,,,No result,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
androstenedione,decreased,serum,,70-80,Humans,AEMFNILZOJDQLW-QAGGRKNESA-N,C00280,LMST02020007,6128,Androstenedione,C19H26O2,286.1933,C19 steroids,HMDB0000053,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
dihydrotestosterone,decreased,serum,,70-80,Humans,NVKAWKQGWWIWPM-ABEVXSGRSA-N,C03917,LMST02020042,10635,5alpha-Dihydrotesosterone,C19H30O2,290.2246,C19 steroids,HMDB0002961,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
androsterone,decreased,serum,,70-80,Humans,QGXBDMJGAMFCBF-HLUDHZFRSA-N,C00523,LMST02020001,5879,Androsterone,C19H30O2,290.2246,C19 steroids,No result,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
"androstane-3α,17β-diol",decreased,serum,,70-80,Humans,VXQXLCZNGSUBJR-PQBUHIFISA-N,No result,No result,22295325,-,,,,No result,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
"androstane-3β,17β-diol",decreased,serum,,70-80,Humans,ZJYZOWMDMWQJIV-TUGPARDCSA-N,No result,No result,No result,-,,,,No result,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
ADT-sulfate,decreased,serum,,70-80,Humans,ZMITXKRGXGRMKS-HLUDHZFRSA-N,No result,LMST05020001,159663,-,,,,HMDB0002759,https://doi.org/10.1210/jcem.82.8.4160,Marked Decline in Serum Concentrations of Adrenal C19 Sex Steroid Precursors and Conjugated Androgen Metabolites During Aging
creatine,increased,brain,,30-80,Humans,CVSVTCORWBXHQV-UHFFFAOYSA-N,C00300,No result,586,Creatine,C4H9N3O2,131.0695,Amino acids,HMDB0000064,https://doi.org/10.1016/j.brainres.2007.06.027,The relationship between white matter brain metabolites and cognition in normal aging: The GENIE study
total cholesterol,increased,serum,female,100,Humans,HVYWMOMLDIMFJA-DPAQBDIFSA-N,C00187,LMST01010001,5997,Cholesterol,C27H46O,386.3549,Cholesterols,No result,https://doi.org/10.3389/fmed.2021.608941,The Role of BMI and Blood Pressure in the Relationship Between Total Cholesterol and Disability in Chinese Centenarians: A Cross-Sectional Study
tropane,increased,feces,,100,Humans,XLRPYZSEQKXZAA-UHFFFAOYSA-N,No result,No result,79037,-,,,,No result,https://doi.org/10.3390/nu14122436,Gut Microbiota Markers and Dietary Habits Associated with Extreme Longevity in Healthy Sardinian Centenarians
piperidine,increased,feces,,100,Humans,NQRYJNQNLNOLGT-UHFFFAOYSA-N,C01746,No result,8082,Piperidine,C5H11N,85.0891,Piperidines,HMDB0034301,https://doi.org/10.3390/nu14122436,Gut Microbiota Markers and Dietary Habits Associated with Extreme Longevity in Healthy Sardinian Centenarians
pyridine alkaloid,increased,feces,,100,Humans,SNICXCGAKADSCV-UHFFFAOYSA-N,C16150,No result,942,-,,,,No result,https://doi.org/10.3390/nu14122436,Gut Microbiota Markers and Dietary Habits Associated with Extreme Longevity in Healthy Sardinian Centenarians
Ether lipid,increased,feces,,100,Humans,JKMINFBFTJOCQS-VWXHIQJHSA-M,No result,No result,46926133,-,,,,No result,https://doi.org/10.3390/nu14122436,Gut Microbiota Markers and Dietary Habits Associated with Extreme Longevity in Healthy Sardinian Centenarians
D-Arginine,increased,feces,,100,Humans,ODKSFYDXXFIFQN-SCSAIBSYSA-N,C00792,No result,71070,D-Arginine,C6H14N4O2,174.1117,Amino acids,HMDB0003416,https://doi.org/10.3390/nu14122436,Gut Microbiota Markers and Dietary Habits Associated with Extreme Longevity in Healthy Sardinian Centenarians
D-ornithine,increased,feces,,100,Humans,AHLPHDHHMVZTML-SCSAIBSYSA-N,C00515,No result,71082,D-Ornithine,C5H12N2O2,132.0899,Amino acids,HMDB0003374,https://doi.org/10.3390/nu14122436,Gut Microbiota Markers and Dietary Habits Associated with Extreme Longevity in Healthy Sardinian Centenarians
IL-6,increased,plasma,,100-104,Humans,KRNQVBYIMBCFNF-PEZSOYKISA-N,No result,No result,No result,,-,,,No result,https://doi.org/10.1007/s11357-015-9822-9,"Functional measures, inflammatory markers and endothelin-1 as predictors of 360-day survival in centenarians"
TNF-α,increased,plasma,,100-104,Humans,MZOFCQQQCNRIBI-VMXHOPILSA-N,No result,No result,44356648,,-,,,No result,https://doi.org/10.1007/s11357-015-9822-9,"Functional measures, inflammatory markers and endothelin-1 as predictors of 360-day survival in centenarians"
PAI-1,decreased,plasma,,100-104,Humans,PHSRRHGYXQCRPU-AWEZNQCLSA-N,No result,LMFA08030001,3246941,-,,,,No result,https://doi.org/10.1007/s11357-015-9822-9,"Functional measures, inflammatory markers and endothelin-1 as predictors of 360-day survival in centenarians"
SM(d16:0/2:0),decreased,serum,,100,Humans,XPAXRSJGGFVTFM-RUZDIDTESA-N,No result,LMGP01010612,16759367,-,,,,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PI(16:0/20:3),increased,serum,,100,Humans,VZEJFGXIOVVAES-KQIHDRGYSA-N,No result,No result,11072889,PI 16:0/20:3*,,,PI,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PI(16:0/18:2),increased,serum,,100,Humans,BSNJSZUDOMPYIR-FJESRZELSA-N,No result,No result,71296227,PI 16:0/18:2,C43H79O13P,834.5258,PI,HMDB0062653,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PI(16:0/20:4),increased,serum,,100,Humans,KIQYUSYSJTUGFZ-UVYWGIEFSA-N,No result,No result,9547141,PI 16:0/20:4,C45H79O13P,858.5258,PI,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PI(17:0/20:4),increased,serum,,100,Humans,IVKFRZJXXGDYJH-YAOSNULYSA-N,No result,No result,52928397,PI 17:0/20:4*,,,PI,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PI(16:1/18:2),increased,serum,,100,Humans,UHAJRYVOXHROHT-TYCYVUFNSA-N,No result,No result,52927464,PI 16:1/18:2*,,,PI,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PI(16:0/22:6),increased,serum,,100,Humans,FPHAZHKZJQOPBU-BYFJYSEFSA-N,No result,No result,52927466,PI 16:0/22:6*,,,PI,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PI(18:1/22:6),increased,serum,,100,Humans,QHPDGSFYNQHVMI-MNSSCRIJSA-N,No result,No result,52927466,PI 18:1/22:6*,,,PI,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(P-18:1/0:0),decreased,serum,,100,Humans,PYVRVRFVLRNJLY-MZMPXXGTSA-N,No result,LMGP02050004,58177709,PE P-18:1/0:0*,,,O-PE,HMDB0011506,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(2:0/20:0),decreased,serum,,100,Humans,SUECAGASKWSPSA-PGUFJCEWSA-N,No result,LMGP02011259,52924953,PE 2:0/20:0*,,,PE,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(P-17:0/0:0),decreased,serum,,100,Humans,RVNBVQKDPQVSOY-OAQYLSRUSA-N,No result,LMGP02050030,52925149,PE P-17:0/0:0*,,,O-PE,HMDB0061691,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(P-18:0/0:0),decreased,serum,,100,Humans,KACDZDULGKPXHT-HIVNOOBXSA-N,No result,LMGP02070002,42607469,PE P-18:0/0:0*,,,O-PE,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(P-16:0/0:0),decreased,serum,,100,Humans,QYTPGOPLNFESQC-NUTQULCTSA-N,No result,LMGP02070001,42607469,PE P-16:0/0:0*,,,O-PE,HMDB0011152,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(20:1/0:0),decreased,serum,,100,Humans,RVNBVQKDPQVSOY-OAQYLSRUSA-N,No result,LMGP02050030,52925149,LPE 20:1/0:0*,,,LPE,HMDB0061691,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(18:1/0:0),decreased,serum,,100,Humans,PYVRVRFVLRNJLY-MZMPXXGTSA-N,No result,LMGP02050004,58177709,LPE 18:1/0:0,C23H46NO7P,479.3012,LPE,HMDB0011506,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(18:2/0:0),decreased,serum,,100,Humans,DBHKHNGBVGWQJE-USWSLJGRSA-N,No result,LMGP02050011,52925130,LPE 18:2/0:0,C23H44NO7P,477.2855,LPE,HMDB0011507,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(20:5/0:0),decreased,serum,,100,Humans,KCWGBXXAJHVZNN-KOYQJJOGSA-N,No result,LMGP02050027,52925146,LPE 20:5/0:0*,,,LPE,HMDB0011519,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(20:4/0:0),decreased,serum,,100,Humans,ROPRRXYVXLDXQO-XSQXPFHXSA-N,No result,LMGP02050009,42607465,LPE 20:4/0:0,C25H44NO7P,501.2855,LPE,HMDB0011517,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(22:6/0:0),decreased,serum,,100,Humans,XEVRBOQZSXWGQO-PAUXXPOVSA-N,No result,LMGP02050013,52925132,LPE 22:6/0:0,C27H44NO7P,525.2855,LPE,HMDB0011526,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(20:3/0:0),decreased,serum,,100,Humans,UEONHLLDVDPRRN-WCABUCBOSA-N,No result,No result,53480950,LPE 20:3/0:0*,,,LPE,HMDB0011514,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(16:0/18:2),decreased,serum,,100,Humans,HBZNVZIRJWODIB-NHCUFCNUSA-N,No result,LMGP02010042,58177710,PE 16:0/18:2,C39H74NO8P,715.5152,PE,HMDB0008928,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(16:0/0:0),decreased,serum,,100,Humans,YVYMBNSKXOXSKW-HXUWFJFHSA-N,No result,LMGP02050002,58177710,LPE 16:0/0:0,C21H44NO7P,453.2855,LPE,HMDB0011503,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(16:1/0:0),decreased,serum,,100,Humans,DSOWUEHXZJUNID-WHXUGTBJSA-N,No result,LMGP02050010,52925129,LPE 16:1/0:0*,,,LPE,HMDB0011504,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(O-24:1/0:0),decreased,serum,,100,Humans,GDXMCRNTFPQYOQ-RPUPUBLZSA-N,No result,No result,53480477,PC O-24:1/0:0*,,,O-PC,HMDB0010406,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(17:2/5:0),decreased,serum,,100,Humans,GYPQKMKDLBCBMB-XTVBGRGASA-N,No result,LMGP01050127,52924043,PC 17:2/5:0*,,,PC,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(P-20:0/3:0),decreased,serum,,100,Humans,RNWSKZCVPICGIX-XQCPFYKGSA-N,No result,LMGP02050022,52925141,PE P-20:0/3:0*,,,O-PE,HMDB0011516,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(O-17:1/0:0),decreased,serum,,100,Humans,XBGIMYLOTRDXPK-AGXIJRPPSA-N,No result,LMGP01050002,42607442,PC O-17:1/0:0*,,,O-PC,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(18:1/0:0),decreased,serum,,100,Humans,YAMUFBLWGFFICM-PTGWMXDISA-N,No result,LMGP01050032,11757087,LPC 18:1/0:0,C26H52NO7P,521.3481,LPC,HMDB0002815,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(20:5/0:0),decreased,serum,,100,Humans,PDIGSOAOQOXRDU-WJPZTBRDSA-N,No result,LMGP01050050,24779469,LPC 20:5/0:0*,,,LPC,HMDB0010397,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(18:3/0:0),decreased,serum,,100,Humans,WKQNRCYKYCKESD-YVHLTTHBSA-N,No result,LMGP01050038,24779469,LPC 18:3/0:0*,,,LPC,HMDB0010388,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(20:3/0:0),decreased,serum,,100,Humans,BBNHCUBQEQJHIG-FZZJNMCHSA-N,No result,LMGP01050133,52924055,LPC 20:3/0:0*,,,LPC,HMDB0010394,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(P-18:0/2:0),decreased,serum,,100,Humans,UQGFCDZIUDFFGJ-XMMPIXPASA-N,No result,No result,No result,PE P-18:0/2:0,C25H50NO7P,507.3325,O-PE,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(P-16:0/2:0),decreased,serum,,100,Humans,ZGGNMPIUHBORSG-JOCHJYFZSA-N,No result,No result,18605402,PE P-16:0/2:0,C23H46NO7P,479.3012,O-PE,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(26:2/8:0),decreased,serum,,100,Humans,XMYNAHXVYJQGFF-ADCJFVABSA-N,No result,LMGP01011203,24779213,PC 26:2/8:0*,,,PC,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(17:0/0:0),decreased,serum,,100,Humans,SRRQPVVYXBTRQK-XMMPIXPASA-N,No result,LMGP01050024,52923727,LPC 17:0/0:0,C25H52NO7P,509.3481,LPC,HMDB0012108,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(22:5/22:5),decreased,serum,,100,Humans,SDGZGUSWMKBVSK-JQMGMGLJSA-N,No result,LMGP01012125,53480475,PC 22:5/22:5,C52H84NO8P,881.5935,PC,HMDB0008745,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(22:5/0:0),decreased,serum,,100,Humans,BIEOSECQPGGZMF-NAIWXXGBSA-N,No result,No result,10415542,LPC 22:5/0:0,C30H52NO7P,569.3481,LPC,HMDB0010403,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(22:6/0:0),decreased,serum,,100,Humans,LSOWKZULVQWMLY-APPDJCNMSA-N,No result,LMGP01050056,10415542,LPC 22:6/0:0,C30H50NO7P,567.3325,LPC,HMDB0010404,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(18:2/0:0),decreased,serum,,100,Humans,SPJFYYJXNPEZDW-FTJOPAKQSA-N,No result,LMGP01050035,11005824,LPC 18:2/0:0,C26H50NO7P,519.3325,LPC,HMDB0010386,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(12:0/22:2),decreased,serum,,100,Humans,XJHXMEGXCYRRPW-HRJWAVGKSA-N,No result,LMGP01011336,52922154,PC 12:0/22:2*,,,PC,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(20:1/0:0),decreased,serum,,100,Humans,GJTDRNFWIDPARY-GTPZACKGSA-N,No result,LMGP01050047,24779475,LPC 20:1/0:0,C28H56NO7P,549.3794,LPC,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(O-16:1/0:0),decreased,serum,,100,Humans,HTZINLFNXLXRBC-DCCWQCMWSA-N,No result,LMGP01070004,10814552,PC O-16:1/0:0*,,,O-PC,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(O-18:2/0:0),decreased,serum,,100,Humans,SPJFYYJXNPEZDW-FTJOPAKQSA-N,No result,LMGP01050035,11005824,PC O-18:2/0:0*,,,O-PC,HMDB0010386,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(14:1/7:0),decreased,serum,,100,Humans,SOZUKXUDKQAUFE-HHHXNRCGSA-N,No result,LMGP01010673,24778755,PC 14:1/7:0*,,,PC,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(20:4/0:0),decreased,serum,,100,Humans,LAXQYRRMGGEGOH-JXRLJXCWSA-N,No result,LMGP01050048,162126,LPC 20:4/0:0,C28H50NO7P,543.3325,LPC,HMDB0010395,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(O-16:0/0:0),decreased,serum,,100,Humans,VLBPIWYTPAXCFJ-XMMPIXPASA-N,No result,LMGP01060010,162126,PC O-16:0/0:0*,,,O-PC,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(O-18:1/0:0),decreased,serum,,100,Humans,XWYSLMAMRKYUFH-HTOVTZSWSA-N,No result,LMGP01060039,24779510,PC O-18:1/0:0*,,,O-PC,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(20:2/0:0),decreased,serum,,100,Humans,YYQVCMMXPIJVHY-ZOIJLGJPSA-N,No result,LMGP01050132,52924053,LPC 20:2/0:0*,,,LPC,HMDB0010392,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(16:0/0:0),decreased,serum,,100,Humans,ASWBNKHCZGQVJV-HSZRJFAPSA-N,No result,LMGP01050018,460602,LPC 16:0/0:0,C24H50NO7P,495.3325,LPC,HMDB0010382,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PE(P-16:0/20:2),increased,serum,,100,Humans,NRDJGXANLABPHN-YKKPZWMYSA-N,No result,LMGP02030026,52925059,PE P-16:0/20:2,C41H78NO7P,727.5516,O-PE,HMDB0011349,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(22:2/12:0),increased,serum,,100,Humans,JLPULHDHAOZNQI-ZTIMHPMXSA-N,No result,LMGP01010594,5287971,PC 22:2/12:0*,,,PC,HMDB0007973,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(26:1/8:0),increased,serum,,100,Humans,WTJKGGKOPKCXLL-VYOBOKEXSA-N,No result,LMGP01010005,5497103,PC 26:1/8:0*,,,PC,HMDB0007972,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(16:0/20:4),increased,serum,,100,Humans,IIZPXYDJLKNOIY-LBKRVYFZSA-N,No result,LMGP01010629,24778721,PC 16:0/20:4,C44H80NO8P,781.5622,PC,No result,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(26:2/10:0),increased,serum,,100,Humans,ATHVAWFAEPLPPQ-VRDBWYNSSA-N,No result,LMGP01010761,24778825,PC 26:2/10:0*,,,PC,HMDB0008038,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PC(14:0/0:0),increased,serum,,100,Humans,VXUOFDJKYGDUJI-OAQYLSRUSA-N,No result,LMGP01050012,9547179,LPC 14:0/0:0,C22H46NO7P,467.3012,LPC,HMDB0010379,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
PA(18:0/0:0),decreased,serum,,100,Humans,LAYXSTYJRSVXIH-HXUWFJFHSA-N,No result,LMGP10050005,5311263,LPA 18:0/0:0*,,,LPA,HMDB0007854,https://doi.org/10.1111/acel.13595,System-level metabolic modeling facilitates unveiling metabolic signature in exceptional longevity
